record_id,body,corporates,geographic_terms,session,symbol,title,topics
703243,A/,None,None,65,A/65/PV.71,"General Assembly official records, 65th session : 71st plenary meeting, Tuesday, 21 December 2010, New York None","['SOCIAL DEVELOPMENT', 'AGEING PERSONS', 'DEMOGRAPHIC AGEING', 'LITERACY', 'COOPERATIVES', 'PERSONS WITH DISABILITIES', 'GENDER-BASED VIOLENCE', 'OBSTETRIC FISTULA', 'WIDOWS', 'TRAFFICKING IN PERSONS', ""WOMEN'S STATUS"", 'ELECTION OF MEMBERS', 'REFUGEE ASSISTANCE', 'HUMAN RIGHTS', 'RIGHT TO THE TRUTH', 'RIGHTS OF THE CHILD', 'INDIGENOUS PEOPLES', 'RACIAL DISCRIMINATION', 'SELF-DETERMINATION OF PEOPLES', 'PALESTINIANS', 'MERCENARIES', 'TORTURE AND OTHER CRUEL TREATMENT', 'EXTRALEGAL EXECUTIONS', 'CAPITAL PUNISHMENT', 'OMBUDSMAN', 'DISAPPEARANCE OF PERSONS', 'RELIGIOUS INTOLERANCE', 'GLOBALIZATION', 'UNILATERAL ACTS OF STATES', 'RIGHT TO FOOD', 'PEACE', 'DEMOCRACY', 'RESOURCES ALLOCATION', 'CRIME PREVENTION', 'PRISONER TREATMENT', 'DRUG CONTROL']"
703245,A/,"['UN. Peacebuilding Commission. Organizational Committee', 'ASEAN', 'Organization for the Prohibition of Chemical Weapons']",None,65,A/65/PV.72,"General Assembly official records, 65th session : 72nd plenary meeting, Wednesday, 22 December 2010, New York None","['POPULATION PROGRAMMES', 'CHEMICAL WEAPONS', 'COOPERATION BETWEEN ORGANIZATIONS', 'REGIONAL ORGANIZATIONS']"
701732,A/,"['UN. General Assembly (66th sess. : 2011-2012). 6th Committee', 'UN. Special Committee on the Charter of the United Nations and on the Strengthening of the Role of the Organization (2011 sess. : New York)']",None,65,A/65/PV.57,"General Assembly official records, 65th session : 57th plenary meeting, Saturday [i.e. Monday], 6 November [i.e. December] 2010, New York None","['STATE RESPONSIBILITY', 'STANDARDS OF CONDUCT', 'INTERNATIONAL LAW CODIFICATION', 'ENVIRONMENTALLY HAZARDOUS ACTIVITIES', 'HUMAN RIGHTS IN ARMED CONFLICTS', 'RULE OF LAW', 'INTERNATIONAL JURISDICTION', 'COUNTER-TERRORISM', 'PROGRAMME PLANNING', 'ADMINISTRATION OF JUSTICE', 'HOST COUNTRY RELATIONS', 'INTERNATIONAL TRADE LAW', 'DIPLOMATIC PROTECTION', ""DIPLOMATS' SECURITY""]"
730980,A/,"['UN. Board of Auditors', 'UN System', 'UN. Office of Internal Oversight Services', 'International Criminal Tribunal for Rwanda', 'International Tribunal for the Prosecution of Persons Responsible for Serious Violations of International Humanitarian Law Committed in the Territory of the Former Yugoslavia since 1991', 'International Residual Mechanism for Criminal Tribunals', 'UN Interim Security Force for Abyei', ""UN Operation in Côte d'Ivoire"", 'UN Mission in South Sudan', 'UN Mission in Sudan', 'UN', 'UN', 'UN Office for Partnerships', 'UN. General Assembly (66th sess. : 2011-2012)', 'UN Capital Master Plan', 'UN Organization Stabilization Mission in the Democratic Republic of the Congo', 'UN. General Assembly (66th sess. : 2011-2012)']",MYANMAR,66,A/66/PV.93,"General Assembly official records, 66th session : 93rd plenary meeting, Saturday, 24 December 2011, New York None","['PERSONS WITH DISABILITIES', 'HUMAN RIGHTS', 'OCEANS', 'LAW OF THE SEA', 'FINANCIAL STATEMENTS', 'CONFERENCE AND MEETING SERVICES', 'INTERNAL OVERSIGHT', 'ADMINISTRATION OF JUSTICE', 'PEACEKEEPING OPERATIONS']"
730711,A/,"['Unesco', 'UN Trust Fund for Partnerships - Permanent Memorial', 'UN. Department of Public Information', 'UNEP. Governing Council', 'UN. Peacebuilding Commission. Organizational Committee', 'UN. Committee on Conferences', 'UN. Permanent Memorial Committee to Honour the Victims of Slavery and the Transatlantic Slave Trade', 'Unesco']",None,66,A/66/PV.83,"General Assembly official records, 66th session : 83rd plenary meeting, Monday, 12 December 2011, New York None","['HEALTH POLICY', 'FOREIGN POLICY', 'MEMORIALS', 'SLAVERY', 'PEACE', 'ELECTION OF MEMBERS', 'EDUCATION FOR PEACE', 'BUDGET CONTRIBUTIONS']"
730697,A/,"['UNRWA', 'UN. Special Committee to Investigate Israeli Practices affecting the Human Rights of the Palestinian People and Other Arabs of the Occupied Territories', 'UN. General Assembly (67th sess. : 2012-2013). Special Political and Decolonization Committee (4th Committee)']",None,66,A/66/PV.81,"General Assembly official records, 66th session : 81st plenary meeting, Friday, 9 December 2011, New York None","['MINE CLEARANCE', 'OUTER SPACE', 'PALESTINE REFUGEES', 'PALESTINE QUESTION', 'TERRITORIES OCCUPIED BY ISRAEL', 'PUBLIC INFORMATION', 'NON-SELF-GOVERNING TERRITORIES', 'DECOLONIZATION']"
710829,A/,UN Interim Force in Lebanon,None,65,A/65/PV.106,"General Assembly official records, 65th session : 106th plenary meeting, Thursday, 30 June 2011, New York None","['SPECIAL MISSIONS', 'PEACEKEEPING OPERATIONS', 'PROGRAMME BUDGETING', 'FINANCING']"
702840,A/,International Commission against Impunity in Guatemala,GUATEMALA,65,A/65/PV.69,"General Assembly official records, 65th session : 69th plenary meeting, Monday, 20 December 2010, New York None","['HUMAN RIGHTS', 'INFORMATION TECHNOLOGY', 'COMMUNICATION TECHNOLOGY', 'INTERNATIONAL TRADE', 'INTERNATIONAL MONETARY SYSTEM', 'DEBT MANAGEMENT', 'DEVELOPMENT FINANCE', 'OIL SPILLS', 'OIL POLLUTION', 'OCEAN DUMPING', 'CORAL REEFS', 'SUSTAINABLE ENERGY', 'SANITATION', 'WATER', 'MARINE ECOSYSTEMS', 'DISASTER PREVENTION', 'INSTITUTIONAL MACHINERY', 'CLIMATE', 'DESERTIFICATION', 'BIOLOGICAL DIVERSITY', 'HUMAN SETTLEMENTS', 'CULTURE', 'INTERNATIONAL ECONOMIC RELATIONS', 'GLOBALIZATION', 'CORRUPTION', 'INTERNATIONAL MIGRATION', 'LEAST DEVELOPED COUNTRIES', 'LANDLOCKED DEVELOPING COUNTRIES', 'ECOTOURISM', 'POVERTY MITIGATION', 'INDUSTRIAL DEVELOPMENT', 'ORGANIZATIONAL REFORM', 'FOOD SECURITY', 'AIDS PREVENTION', 'IMPUNITY', 'RULE OF LAW']"
702722,A/,"['UN. General Assembly (65th sess. : 2010-2011)', 'UN. General Assembly (65th sess. : 2010-2011). Credentials Committee', 'UN', 'UN System', 'Caribbean Community', 'UN', 'UN', 'UN System', 'UN Joint Staff Pension Fund', 'UN System Chief Executives Board for Coordination', 'UN System', 'UN. Office of Internal Oversight Services', 'International Criminal Tribunal for Rwanda', 'International Tribunal for the Prosecution of Persons Responsible for Serious Violations of International Humanitarian Law Committed in the Territory of the Former Yugoslavia since 1991', 'UN Mission in the Central African Republic and Chad', 'UN Organization Mission in the Democratic Republic of the Congo', 'UN Organization Stabilization Mission in the Democratic Republic of the Congo', 'UN Stabilization Mission in Haiti', 'UN Mission in Sudan', 'UN']",MYANMAR,65,A/65/PV.73,"General Assembly official records, 65th session : 73rd plenary meeting, Thursday, 23 December 2010, New York None","['NON-COMMUNICABLE DISEASES', 'RACIAL DISCRIMINATION', 'HUMAN RIGHTS', 'COOPERATION BETWEEN ORGANIZATIONS', 'FINANCIAL STATEMENTS', 'PROGRAMME PLANNING', 'CONFERENCE AND MEETING SERVICES', 'PERSONNEL MANAGEMENT', 'INTERNAL OVERSIGHT', 'ADMINISTRATION OF JUSTICE', 'PURCHASING', 'DISEASE CONTROL']"
702511,A/,UN System,None,65,A/65/PV.60,"General Assembly official records, 65th session : 60th plenary meeting, Wednesday, 8 December 2010, New York None","['INTERNATIONAL SECURITY', 'DISARMAMENT', 'NUCLEAR NON-PROLIFERATION', 'WEAPONS OF MASS DESTRUCTION', 'MILITARY EXPENDITURES', 'NUCLEAR-WEAPON-FREE ZONES', 'OUTER SPACE', 'ARMS LIMITATION', 'SCIENCE AND TECHNOLOGY', 'REGIONAL DISARMAMENT', 'CONFIDENCE-BUILDING MEASURES', 'LANDMINES', 'SMALL ARMS', 'CHEMICAL AND BIOLOGICAL WARFARE', 'DISARMAMENT-DEVELOPMENT LINK', 'ENVIRONMENTAL STANDARDS', 'MULTILATERALISM', 'DEPLETED URANIUM', 'TERRORISM', 'BALLISTIC MISSILES', 'GOVERNANCE', 'LEADERSHIP']"
733854,A/,Organization for the Prohibition of Chemical Weapons,None,66,A/C.1/66/PV.13,"General Assembly official records, 66th session : 1st Committee, 13th meeting, Monday, 17 October 2011, New York None","['NUCLEAR NON-PROLIFERATION', 'CHEMICAL WEAPONS', 'BIOLOGICAL WEAPONS', 'WEAPONS DESTRUCTION', 'TERRORISM']"
732422,A/,"['Joint Inspection Unit', 'UN. General Assembly (66th sess. : 2011-2012)']",RWANDA,66,A/66/PV.92,"General Assembly official records, 66th session : 92nd plenary meeting, Friday, 23 December 2011, New York None","['INTERCULTURAL COMMUNICATION', 'PEACE', 'HUMANITARIAN ASSISTANCE', 'CRIME VICTIMS', 'GENOCIDE']"
730707,A/,None,None,66,A/66/PV.82,"General Assembly official records, 66th session : 82nd plenary meeting, Friday, 9 December 2011, New York None","['NATIONALITY', 'ACCOUNTABILITY', 'INTERNATIONAL LAW', 'EDUCATIONAL ASSISTANCE', 'INTERNATIONAL TRADE LAW', 'JURISDICTION', 'AQUIFERS', 'TERRORISM', 'PROGRAMME PLANNING', 'ADMINISTRATION OF JUSTICE', 'HOST COUNTRY RELATIONS', 'OBSERVER STATUS']"
713761,A/,"['UN. General Assembly (66th sess. : 2011-2012)', 'UN. General Assembly (66th sess. : 2011-2012)', 'UN. General Assembly (66th sess. : 2011-2012)', 'Transitional National Council (Libya)']",LIBYA,66,A/66/PV.2,"General Assembly official records, 66th session : 2nd plenary meeting, Friday, 16 September 2011, New York None",None
712114,"['E/', 'E/CN.5/']","[""New Partnership for Africa's Development"", 'UN. Commission for Social Development (49th sess. : 2011 : New York)', 'UN. Commission for Social Development (49th sess. : 2011 : New York)', 'UN. General Assembly (24th special sess. : 2000 : Geneva)', 'UN RESEARCH INSTITUTE FOR SOCIAL DEVELOPMENT']",AFRICA,"['2011-S', '49']","['E/2011/26', 'E/CN.5/2011/12']",Commission for Social Development : report on the 49th session (19 February 2010 and 9-18 February 2011) None,"['PARTNERSHIP', 'DEVELOPMENT ASSISTANCE', 'SOCIAL DEVELOPMENT', 'SOCIAL INTEGRATION', 'PERSONS WITH DISABILITIES', 'AGEING', 'FAMILY', 'POVERTY MITIGATION', 'PROGRAMME IMPLEMENTATION', 'DOCUMENTS', 'PERSONS WITH DISABILITIES', 'YOUTH POLICY']"
711558,A/,None,NORWAY,65,A/65/PV.111,"General Assembly official records, 65th session : 111th plenary meeting, Tuesday, 26 July 2011, New York None","['YOUTH', 'YOUTH POLICY', 'POPULAR PARTICIPATION', 'ARMED INCIDENTS']"
